city,state,zip,county,homeValue
New York,NY,10025,New York County,1117997
Chicago,IL,60657,Cook County,519384
New York,NY,10023,New York County,1088755
Katy,TX,77494,Harris County,403712
Chicago,IL,60614,Cook County,661889
Katy,TX,77449,Harris County,230015
New York,NY,10002,New York County,1005773
Houston,TX,77084,Harris County,227978
El Paso,TX,79936,El Paso County,162707
Chicago,IL,60640,Cook County,339771
New York,NY,11226,Kings County,628566
New York,NY,10467,Bronx County,207171
Pflugerville,TX,78660,Travis County,417808
San Francisco,CA,94109,San Francisco County,1158213
New York,NY,10016,New York County,709107
Nashville,TN,37013,Davidson County,287417
The Villages,FL,32162,Sumter County,306504
Chicago,IL,60647,Cook County,510336
New York,NY,11201,Kings County,961924
New York,NY,11235,Kings County,425439
New York,NY,11375,Queens County,415797
Hawthorne,CA,90250,Los Angeles County,829630
New Braunfels,TX,78130,Comal County,292850
Nashville,TN,37211,Davidson County,335989
New York,NY,10029,New York County,845125
New York,NY,10009,New York County,930451
League City,TX,77573,Galveston County,328428
Chicago,IL,60618,Cook County,517678
Pearland,TX,77584,Brazoria County,310330
New York,NY,10011,New York County,1069366
Washington,DC,20002,District of Columbia,764919
New York,NY,10128,New York County,1193716
Charlotte,NC,28269,Mecklenburg County,291986
Cedar Park,TX,78613,Williamson County,501839
Cypress,TX,77433,Harris County,344576
Mission,TX,78572,Hidalgo County,145471
Riverdale,GA,30349,Clayton County,204585
El Paso,TX,79912,El Paso County,235033
Grand Prairie,TX,75052,Dallas County,279689
Pittsburg,CA,94565,Contra Costa County,731494
Clarksville,TN,37042,Montgomery County,201347
New York,NY,11206,Kings County,756539
Yukon,OK,73099,Canadian County,201927
Los Angeles,CA,90046,Los Angeles County,1624129
Washington,DC,20009,District of Columbia,652056
Cypress,TX,77429,Harris County,311444
San Antonio,TX,78245,Bexar County,230281
Sugar Land,TX,77479,Fort Bend County,437302
New York,NY,10462,Bronx County,192705
New York,NY,10456,Bronx County,325045
Chicago,IL,60613,Cook County,369585
Lawrenceville,GA,30044,Gwinnett County,281513
New York,NY,10019,New York County,1039197
Saint Peters,MO,63376,Saint Charles County,258497
New York,NY,10003,New York County,1101576
Charlotte,NC,28277,Mecklenburg County,445440
Chicago,IL,60625,Cook County,423063
Lawrenceville,GA,30043,Gwinnett County,327718
New York,NY,11230,Kings County,564434
New York,NY,11212,Kings County,507023
Houston,TX,77036,Harris County,160596
New York,NY,10463,New York County,280357
Chicago,IL,60629,Cook County,238465
New York,NY,11209,Kings County,572473
Duluth,GA,30096,Gwinnett County,316291
New York,NY,11221,Kings County,1100566
Hoboken,NJ,7030,Hudson County,734465
Redmond,WA,98052,King County,1116591
Suwanee,GA,30024,Gwinnett County,461230
Chicago,IL,60610,Cook County,447550
Austin,TX,78704,Travis County,892864
Houston,TX,77077,Harris County,345406
Phoenix,AZ,85032,Maricopa County,388136
Spring,TX,77379,Harris County,309621
Dallas,TX,75287,Dallas County,407262
New York,NY,10024,New York County,1477039
San Marcos,TX,78666,Hays County,312939
Parkville,MD,21234,Baltimore County,252813
Sunny Isles Beach,FL,33160,Miami-Dade County,396178
Virginia Beach,VA,23464,Virginia Beach City,321337
Winter Garden,FL,34787,Orange County,416040
Brownsville,TX,78521,Cameron County,111569
Lakewood Township,NJ,8701,Ocean County,448015
Dallas,TX,75243,Dallas County,251578
New York,NY,11214,Kings County,532115
Concord,NC,28027,Cabarrus County,319283
New York,NY,11207,Kings County,531869
Alameda,CA,94501,Alameda County,1321795
Quincy,MA,2169,Norfolk County,543017
Royal Palm Beach,FL,33411,Palm Beach County,372559
New York,NY,11229,Kings County,597883
Chicago,IL,60619,Cook County,183568
Austin,TX,78745,Travis County,519271
San Francisco,CA,94110,San Francisco County,1615716
